title,url,company,location,tags,easily_apply,description,page
Data Scientist/Senior Data Scientist – Generative AI,https://uk.indeed.com/viewjob?jk=a6bae219d0c940aa,C3 AI,London,,No,"You will work directly with researchers, data scientists, softwareengineers, and subject matter experts in the definition of new generativeAIcapabilities…",13
Senior Mission Software Engineer (m/f/d),https://uk.indeed.com/viewjob?jk=23070f55c3e034cd,ARX Robotics GmbH,London,,No,We are seeking a Senior Mission SoftwareEngineer(m/f/d) with expertise in Edge Computing and Sensor Data Processing to join our team.,13
Software Engineer - Graph Data Science,https://uk.indeed.com/viewjob?jk=e3060d18aa217d62,Neo4j,London,,No,Work in a highly collaborative and friendly team of skilled and motivated engineers.;Partner with softwareengineersfrom other teams in Neo4j to ensure…,13
Senior Site Reliability Engineer,https://uk.indeed.com/viewjob?jk=18daabb9402a014c,Cynergy Bank,Hybrid work in London EC4M 9AF,,No,"Coachengineersand support platform strategy.;Operating as part of a team, you will have the opportunity to learn and grow with seniorengineersand cloud…",13
Asst Dir-DevOps Engineer,https://uk.indeed.com/viewjob?jk=12c641bc8991d638,Moody's,London EC3R,,No,"Support onboarding of juniorengineersand assist in documentation and knowledge sharing.;Ability to support onboarding and coordination of junior engineers,…",13
Staff Software Engineer,https://uk.indeed.com/viewjob?jk=3a513b6065849e43,Corsearch,Remote in London EC2V 8AE,,No,"Provide mentorship to both new and seasonedengineers, sharing best practices and driving continuous improvement.;We use C#, Go, Ruby, and Python.",13
Lead Consultant UK | GCP | Data & AI/ML Pre-Sales Architect,https://uk.indeed.com/viewjob?jk=ebcce51aec71f1a2,Devoteam,London,Company pension;Private medical insurance;Work from home,No,"Mentoring juniorsengineersand contributing to the growth of the team.;Devoteam is a leading consulting firm focused on digital strategy, tech platforms and…",13
Senior Analytics Developer,https://uk.indeed.com/viewjob?jk=85bbfe985390398e,LexisNexis,Farringdon,Employee discount;Sabbatical;Employee assistance programme;Company pension;Flexible schedule,No,The team consists of experienced dataengineersand reporting developers.;Are you ready to elevate your analytics career to new heights?,13
"Data Scientist, AWS Industries",https://uk.indeed.com/viewjob?jk=a59cb039a9b1c10a,AWS EMEA SARL (UK Branch) - F93,London,,No,"This is a team of data scientists,engineers, and architects working step-by-step with customers to build bespoke solutions that harness the power of generative…",13
DevOps Engineer,https://uk.indeed.com/viewjob?jk=095da5a45e56affb,Element Materials Technology,Remote in London WC2E 7HA,,No,Mentor juniorengineersand foster a culture of continuous learning within the team.;Collaborate with data scientists andengineersto support the…,13
Software Engineer (Application platforms/AWS/Python),https://uk.indeed.com/viewjob?jk=07986881c2dda541,Travtus,Hybrid work in London,Company pension;Private medical insurance,No,"Mentorengineersin platform development, code quality, and the effective use of shared services.;Build frameworks that streamline integration with third-party…",14
Copilot Engineer,https://uk.indeed.com/viewjob?jk=c9c9a44aea3a554a,Capgemini,Hybrid work in London,,No,"As a Copilot specialist, you will contribute to the build, implementation, testing and maintenance of Copilot studio solutions, as well as building and…",14
Software Engineer,https://uk.indeed.com/viewjob?jk=cb4f8443f6e9f197,LexisNexis,Farringdon,Employee discount;Company pension;Flexible schedule;Season ticket loan;Car scheme,No,Researching the applicability of cutting-edgeAItechnology in our features.;Keeping up to date with evolvingAIframeworks.,14
Software Engineer,https://uk.indeed.com/viewjob?jk=8eda48d5bb3e7130,RELX,Farringdon,Employee discount;Company pension;Flexible schedule;Season ticket loan;Car scheme,No,Researching the applicability of cutting-edgeAItechnology in our features.;Keeping up to date with evolvingAIframeworks.,14
AI Platform Lead,https://uk.indeed.com/viewjob?jk=426fa0edaaf68167,The AA,Hybrid work in London,Annual leave;Employee discount;Company pension;Private medical insurance;Car scheme,No,"Working hands-on with technologies like AzureAIFoundry, Kubernetes, Terraform, and MLflow, you’ll collaborate with architects, data scientists,engineers, and…",14
